State,Postal,Population,Party
Alabama,AL,4849377.0,Republican
Alaska,AK,736732.0,Republican
Arizona,AZ,6731484.0,Republican
Arkansas,AR,2966369.0,Republican
California,CA,38802500.0,Democratic
Colorado,CO,5355866.0,Democratic
Connecticut,CT,3596677.0,Democratic
Delaware,DE,935614.0,Democratic
District of Columbia,DC,658893.0,Democratic
Florida,FL,19893297.0,Republican
Georgia,GA,10097343.0,Republican
Hawaii,HI,1419561.0,Democratic
Idaho,ID,1634464.0,Republican
Illinois,IL,12880580.0,Democratic
Indiana,IN,6596855.0,Republican
Iowa,IA,3107126.0,Republican
Kansas,KS,2904021.0,Democratic
Kentucky,KY,4413457.0,Democratic
Louisiana,LA,4649676.0,Democratic
Maine,ME,1330089.0,Democratic
Maryland,MD,5976407.0,Republican
Massachusetts,MA,6745408.0,Republican
Michigan,MI,9909877.0,Democratic
Minnesota,MN,5457173.0,Democratic
Mississippi,MS,2994079.0,Republican
Missouri,MO,6063589.0,Republican
Montana,MT,1023579.0,Democratic
Nebraska,NE,1881503.0,Republican
Nevada,NV,2839098.0,Democratic
New Hampshire,NH,1326813.0,Republican
New Jersey,NJ,8938175.0,Democratic
New Mexico,NM,2085572.0,Democratic
New York,NY,19746227.0,Democratic
North Carolina,NC,9943964.0,Democratic
North Dakota,ND,739482.0,Republican
Ohio,OH,11594163.0,Republican
Oklahoma,OK,3878051.0,Republican
Oregon,OR,3970239.0,Democratic
Pennsylvania,PA,12787209.0,Democratic
Puerto Rico,PR,3548397.0,Democratic
Rhode Island,RI,1055173.0,Democratic
South Carolina,SC,4832482.0,Republican
South Dakota,SD,853175.0,Republican
Tennessee,TN,6549352.0,Republican
Texas,TX,26956958.0,Republican
Utah,UT,2942902.0,Republican
Vermont,VT,626562.0,Republican
Virginia,VA,8326289.0,Democratic
Washington,WA,7061530.0,Democratic
West Virginia,WV,1850326.0,Republican
Wisconsin,WI,5757564.0,Democratic
Wyoming,WY,584153.0,Republican
